"Sample_name","Population","Selection","Criollo","Nacional","Amelonado","Purús","Marañon","Curaray","Contamana","Guiana","Iquitos","Nanay"
"796_MAR","Reference","Reference",0.0048,0.0057,8e-04,0.0015,0.9516,0.0252,0.003,0.0047,0.0017,0.001
"823_MAR","Reference","Reference",0.0047,0.0052,8e-04,0.0015,0.9515,0.0254,0.003,0.0052,0.0017,9e-04
"783_MAR","Reference","Reference",5e-04,7e-04,0.0502,0.0014,0.9392,7e-04,8e-04,0.003,0.0015,0.0019
"810_MAR","Reference","Reference",5e-04,8e-04,0.051,0.0015,0.9383,7e-04,8e-04,0.0031,0.0015,0.0019
"756_MAR","Reference","Reference",5e-04,7e-04,0.052,0.0014,0.9373,7e-04,8e-04,0.0032,0.0015,0.0019
"837_MAR","Reference","Reference",5e-04,7e-04,0.0531,0.0014,0.9363,7e-04,8e-04,0.0031,0.0015,0.0019
"798_MAR","Reference","Reference",8e-04,0.0127,0.001,0.0029,0.9182,0.0096,0.0059,0.0456,0.0024,0.001
"852_MAR","Reference","Reference",9e-04,0.0122,0.001,0.0028,0.9176,0.0096,0.0063,0.0463,0.0025,9e-04
"825_MAR","Reference","Reference",8e-04,0.0124,0.001,0.003,0.9172,0.0095,0.0059,0.0467,0.0025,9e-04
"771_MAR","Reference","Reference",9e-04,0.0128,0.001,0.003,0.9146,0.0096,0.006,0.0488,0.0025,9e-04
"766_MAR","Reference","Reference",6e-04,5e-04,0.1335,0.0015,0.8567,6e-04,5e-04,0.0013,0.0024,0.0024
"793_MAR","Reference","Reference",6e-04,5e-04,0.1361,0.0016,0.8545,7e-04,6e-04,0.0013,0.0021,0.0021
"820_MAR","Reference","Reference",6e-04,5e-04,0.1361,0.0015,0.8545,6e-04,6e-04,0.0013,0.0022,0.0022
